Phrase,Sentiment
strong creative wonderful,Positive
disappointing poor frustrated,Negative
usual sufficient,Neutral
failure horrible poor,Negative
wonderful good inspired joyful,Positive
sad weak,Negative
usual normal sufficient standard,Neutral
creative successful joyful strong,Positive
average regular sufficient normal,Neutral
sad poor,Negative
standard common basic usual,Neutral
sufficient normal,Neutral
usual adequate typical,Neutral
horrible bad,Negative
typical average usual sufficient,Neutral
happy successful joyful wonderful,Positive
brilliant good,Positive
successful excellent happy,Positive
normal adequate regular,Neutral
disappointing angry weak failure,Negative
sufficient standard usual,Neutral
bad terrible sad,Negative
sad frustrated horrible,Negative
angry bad,Negative
failure frustrated,Negative
basic typical,Neutral
excellent wonderful,Positive
usual normal average,Neutral
brilliant successful good,Positive
terrible failure,Negative
failure terrible,Negative
typical standard,Neutral
disappointing bad weak,Negative
happy good joyful,Positive
inspired brilliant successful wonderful,Positive
terrible bad,Negative
successful strong wonderful brilliant,Positive
adequate regular common sufficient,Neutral
adequate average,Neutral
successful strong happy,Positive
good strong wonderful,Positive
normal regular typical,Neutral
usual standard normal,Neutral
excellent good,Positive
brilliant good inspired excellent,Positive
frustrated poor sad weak,Negative
common usual sufficient,Neutral
terrible sad angry,Negative
regular basic,Neutral
average normal standard,Neutral
failure bad disappointing frustrated,Negative
basic regular,Neutral
poor angry,Negative
sad terrible disappointing,Negative
typical standard regular adequate,Neutral
brilliant successful,Positive
joyful successful brilliant,Positive
average typical normal,Neutral
regular common average typical,Neutral
successful wonderful joyful excellent,Positive
basic normal sufficient,Neutral
sad terrible poor bad,Negative
happy brilliant,Positive
poor terrible,Negative
strong brilliant good happy,Positive
creative happy good,Positive
failure terrible frustrated,Negative
brilliant excellent successful good,Positive
standard usual adequate regular,Neutral
failure terrible disappointing,Negative
excellent brilliant,Positive
terrible poor bad,Negative
terrible weak,Negative
brilliant good creative excellent,Positive
successful creative,Positive
typical normal,Neutral
successful strong joyful happy,Positive
average usual,Neutral
successful brilliant,Positive
basic typical,Neutral
wonderful brilliant creative successful,Positive
sad bad disappointing frustrated,Negative
good excellent,Positive
successful excellent,Positive
basic normal sufficient common,Neutral
happy good,Positive
typical standard common,Neutral
basic sufficient average usual,Neutral
adequate standard average,Neutral
horrible sad disappointing,Negative
disappointing weak,Negative
joyful excellent,Positive
wonderful inspired,Positive
horrible sad,Negative
creative happy joyful brilliant,Positive
inspired happy strong creative,Positive
basic normal sufficient,Neutral
strong happy brilliant,Positive
frustrated weak,Negative
creative brilliant joyful,Positive
terrible angry,Negative
wonderful brilliant,Positive
happy joyful,Positive
usual common typical standard,Neutral
joyful strong successful,Positive
angry disappointing sad,Negative
adequate standard normal,Neutral
wonderful good,Positive
sufficient regular adequate,Neutral
inspired joyful wonderful,Positive
happy inspired brilliant creative,Positive
successful brilliant wonderful,Positive
failure bad weak,Negative
excellent good,Positive
common sufficient basic,Neutral
basic regular sufficient,Neutral
bad horrible,Negative
adequate normal basic,Neutral
poor angry,Negative
usual typical,Neutral
angry horrible frustrated weak,Negative
sad terrible weak,Negative
normal standard regular common,Neutral
horrible disappointing,Negative
wonderful successful strong,Positive
normal average,Neutral
adequate common standard regular,Neutral
standard common typical,Neutral
angry frustrated failure bad,Negative
average usual standard,Neutral
brilliant creative joyful,Positive
sad horrible,Negative
terrible poor,Negative
basic standard,Neutral
weak poor angry,Negative
angry sad bad poor,Negative
horrible bad,Negative
normal adequate average sufficient,Neutral
successful good inspired joyful,Positive
excellent good,Positive
excellent successful wonderful creative,Positive
normal common average,Neutral
poor angry sad,Negative
basic typical,Neutral
successful good,Positive
inspired joyful successful strong,Positive
excellent successful,Positive
sufficient normal,Neutral
weak sad failure,Negative
normal regular adequate sufficient,Neutral
good successful inspired excellent,Positive
poor disappointing frustrated,Negative
excellent brilliant successful strong,Positive
creative good wonderful happy,Positive
strong good successful,Positive
wonderful inspired creative excellent,Positive
sad bad weak frustrated,Negative
successful inspired brilliant wonderful,Positive
adequate sufficient average,Neutral
normal sufficient basic adequate,Neutral
failure disappointing frustrated,Negative
regular normal,Neutral
typical standard,Neutral
sufficient common average standard,Neutral
successful strong,Positive
standard basic,Neutral
joyful inspired good,Positive
standard regular sufficient,Neutral
standard common usual,Neutral
sufficient usual,Neutral
terrible weak disappointing,Negative
poor frustrated,Negative
weak failure bad,Negative
weak horrible frustrated,Negative
strong creative joyful inspired,Positive
normal average usual standard,Neutral
failure weak horrible,Negative
terrible weak bad,Negative
sad poor,Negative
brilliant happy,Positive
terrible angry horrible,Negative
terrible failure bad,Negative
inspired good,Positive
adequate typical sufficient,Neutral
failure disappointing sad horrible,Negative
average typical normal,Neutral
poor horrible failure,Negative
sad horrible,Negative
sufficient regular average,Neutral
weak angry bad,Negative
average basic,Neutral
wonderful inspired joyful,Positive
terrible weak,Negative
successful brilliant,Positive
average regular adequate,Neutral
sufficient adequate typical,Neutral
wonderful excellent good,Positive
standard adequate,Neutral
regular average usual,Neutral
frustrated weak,Negative
frustrated bad terrible,Negative
happy successful strong creative,Positive
failure weak,Negative
happy creative wonderful,Positive
regular common,Neutral
normal basic standard,Neutral
average sufficient,Neutral
sufficient normal,Neutral
normal average,Neutral
average adequate normal,Neutral
standard usual typical normal,Neutral
creative strong good wonderful,Positive
poor disappointing bad angry,Negative
inspired joyful,Positive
terrible bad angry,Negative
failure sad,Negative
sad poor,Negative
horrible sad disappointing,Negative
happy brilliant,Positive
standard common,Neutral
angry frustrated disappointing,Negative
inspired creative,Positive
disappointing poor terrible,Negative
typical usual common normal,Neutral
successful joyful excellent,Positive
poor disappointing,Negative
brilliant wonderful good,Positive
sufficient normal regular,Neutral
average regular normal,Neutral
happy strong joyful wonderful,Positive
successful joyful,Positive
brilliant inspired happy,Positive
adequate average basic,Neutral
usual typical,Neutral
horrible poor,Negative
disappointing weak,Negative
usual basic standard normal,Neutral
usual adequate basic common,Neutral
common regular usual adequate,Neutral
sad failure frustrated,Negative
usual adequate,Neutral
sufficient common usual adequate,Neutral
successful good creative,Positive
adequate typical average,Neutral
bad disappointing horrible terrible,Negative
strong successful,Positive
disappointing terrible weak,Negative
disappointing terrible angry,Negative
successful creative,Positive
strong creative,Positive
joyful creative,Positive
weak poor,Negative
terrible weak bad horrible,Negative
usual standard normal,Neutral
average basic,Neutral
typical common adequate,Neutral
usual regular,Neutral
common usual,Neutral
sad angry,Negative
excellent creative wonderful brilliant,Positive
angry disappointing sad weak,Negative
normal regular adequate standard,Neutral
brilliant good wonderful creative,Positive
typical basic,Neutral
adequate standard regular,Neutral
sad angry,Negative
adequate normal standard,Neutral
bad frustrated,Negative
sad bad,Negative
disappointing frustrated horrible poor,Negative
basic average typical,Neutral
terrible weak frustrated,Negative
typical regular sufficient standard,Neutral
creative inspired brilliant successful,Positive
normal common,Neutral
poor bad sad failure,Negative
average basic,Neutral
frustrated disappointing bad,Negative
brilliant creative happy,Positive
joyful inspired strong brilliant,Positive
usual common typical adequate,Neutral
terrible poor,Negative
regular common,Neutral
successful creative,Positive
disappointing terrible,Negative
happy wonderful brilliant,Positive
brilliant creative wonderful joyful,Positive
sufficient standard,Neutral
horrible disappointing poor angry,Negative
basic standard sufficient typical,Neutral
strong brilliant inspired,Positive
good creative brilliant,Positive
terrible poor failure,Negative
inspired successful brilliant creative,Positive
poor disappointing,Negative
angry poor horrible frustrated,Negative
horrible weak,Negative
frustrated weak failure poor,Negative
wonderful creative brilliant,Positive
horrible failure poor,Negative
creative happy,Positive
brilliant successful wonderful,Positive
joyful wonderful inspired strong,Positive
successful brilliant,Positive
poor sad terrible failure,Negative
basic typical,Neutral
poor weak sad terrible,Negative
angry sad weak,Negative
adequate standard average regular,Neutral
wonderful excellent,Positive
bad sad poor,Negative
usual adequate typical,Neutral
creative wonderful,Positive
creative inspired successful,Positive
sufficient basic,Neutral
failure bad frustrated,Negative
weak horrible failure disappointing,Negative
regular average,Neutral
wonderful successful,Positive
common sufficient standard typical,Neutral
normal usual basic,Neutral
regular adequate,Neutral
successful brilliant,Positive
creative wonderful excellent,Positive
failure frustrated sad,Negative
normal typical regular usual,Neutral
brilliant joyful inspired strong,Positive
strong joyful brilliant,Positive
typical usual,Neutral
happy excellent inspired,Positive
disappointing failure,Negative
sufficient common normal,Neutral
wonderful inspired,Positive
normal sufficient average,Neutral
creative successful joyful,Positive
poor sad bad,Negative
brilliant creative wonderful,Positive
good successful inspired,Positive
usual average typical regular,Neutral
usual standard average normal,Neutral
average basic adequate normal,Neutral
usual sufficient adequate regular,Neutral
bad sad poor,Negative
sufficient usual,Neutral
failure disappointing weak sad,Negative
bad disappointing,Negative
wonderful happy,Positive
horrible angry terrible,Negative
bad sad angry failure,Negative
strong happy excellent brilliant,Positive
strong happy excellent,Positive
joyful happy,Positive
strong brilliant excellent successful,Positive
typical adequate sufficient,Neutral
average common normal standard,Neutral
standard basic,Neutral
wonderful inspired,Positive
bad terrible,Negative
average adequate,Neutral
angry horrible bad,Negative
wonderful creative,Positive
weak poor terrible bad,Negative
strong good inspired,Positive
strong wonderful brilliant,Positive
disappointing frustrated horrible,Negative
wonderful successful brilliant,Positive
angry horrible sad,Negative
adequate usual basic,Neutral
happy wonderful excellent,Positive
average normal standard common,Neutral
horrible terrible,Negative
normal adequate sufficient,Neutral
inspired happy creative,Positive
usual regular standard average,Neutral
regular basic common normal,Neutral
common adequate normal basic,Neutral
wonderful successful,Positive
angry poor terrible weak,Negative
happy inspired successful brilliant,Positive
joyful good wonderful,Positive
usual typical,Neutral
bad terrible horrible,Negative
strong creative happy,Positive
successful excellent wonderful inspired,Positive
normal average,Neutral
weak frustrated,Negative
bad terrible weak,Negative
frustrated disappointing bad terrible,Negative
sufficient basic common adequate,Neutral
good happy,Positive
creative inspired strong,Positive
average adequate,Neutral
brilliant joyful good,Positive
failure bad angry,Negative
angry frustrated,Negative
normal adequate common,Neutral
usual typical average basic,Neutral
sad bad failure,Negative
creative brilliant wonderful,Positive
typical sufficient adequate common,Neutral
happy strong joyful,Positive
disappointing angry terrible bad,Negative
disappointing poor horrible failure,Negative
bad terrible frustrated sad,Negative
angry bad terrible,Negative
brilliant strong,Positive
creative brilliant excellent,Positive
successful inspired,Positive
standard sufficient,Neutral
poor bad failure horrible,Negative
wonderful strong good,Positive
strong creative brilliant wonderful,Positive
standard adequate typical,Neutral
angry weak poor bad,Negative
usual average,Neutral
inspired happy strong wonderful,Positive
creative strong excellent,Positive
excellent happy creative wonderful,Positive
brilliant joyful happy,Positive
good joyful excellent creative,Positive
typical sufficient standard usual,Neutral
weak angry disappointing frustrated,Negative
angry sad,Negative
successful strong,Positive
inspired successful wonderful,Positive
bad horrible,Negative
angry bad failure frustrated,Negative
adequate common normal,Neutral
typical sufficient,Neutral
terrible weak failure poor,Negative
brilliant successful creative,Positive
inspired creative wonderful joyful,Positive
frustrated terrible weak,Negative
disappointing horrible,Negative
sufficient adequate standard typical,Neutral
creative strong successful joyful,Positive
sad frustrated bad,Negative
sufficient average standard basic,Neutral
successful excellent wonderful,Positive
average standard,Neutral
standard adequate average,Neutral
disappointing terrible horrible,Negative
good creative successful happy,Positive
angry horrible failure,Negative
horrible frustrated,Negative
adequate normal usual common,Neutral
happy joyful wonderful good,Positive
failure poor angry,Negative
sufficient typical common adequate,Neutral
good wonderful strong joyful,Positive
sufficient average,Neutral
sufficient usual,Neutral
strong successful,Positive
sad horrible,Negative
average basic adequate typical,Neutral
standard basic sufficient regular,Neutral
poor horrible bad weak,Negative
sufficient regular adequate common,Neutral
good joyful inspired creative,Positive
happy good wonderful brilliant,Positive
terrible failure angry,Negative
wonderful excellent inspired,Positive
standard usual sufficient regular,Neutral
wonderful good,Positive
horrible terrible frustrated sad,Negative
normal regular standard typical,Neutral
normal standard,Neutral
usual regular normal,Neutral
usual basic,Neutral
terrible angry frustrated disappointing,Negative
happy joyful,Positive
wonderful successful joyful creative,Positive
terrible horrible weak,Negative
normal regular,Neutral
horrible disappointing,Negative
typical common standard average,Neutral
sad poor,Negative
successful strong inspired wonderful,Positive
average normal standard,Neutral
horrible terrible angry frustrated,Negative
standard sufficient,Neutral
typical adequate,Neutral
angry poor,Negative
frustrated terrible bad horrible,Negative
regular typical adequate,Neutral
failure weak disappointing,Negative
joyful inspired,Positive
horrible poor,Negative
common normal basic,Neutral
successful excellent inspired,Positive
happy wonderful brilliant successful,Positive
common adequate,Neutral
standard adequate basic,Neutral
excellent successful joyful,Positive
strong excellent successful,Positive
successful brilliant,Positive
excellent creative wonderful,Positive
adequate sufficient average,Neutral
strong brilliant inspired,Positive
average standard,Neutral
bad failure,Negative
creative inspired,Positive
basic regular typical standard,Neutral
average usual common regular,Neutral
weak failure frustrated angry,Negative
average standard adequate,Neutral
typical sufficient,Neutral
bad terrible,Negative
successful happy,Positive
sufficient usual average normal,Neutral
joyful inspired strong,Positive
standard normal,Neutral
poor terrible bad,Negative
usual basic adequate,Neutral
brilliant happy,Positive
sad bad poor terrible,Negative
usual basic,Neutral
sufficient common typical,Neutral
successful brilliant good,Positive
successful inspired creative happy,Positive
successful wonderful,Positive
happy wonderful,Positive
adequate normal standard common,Neutral
failure weak,Negative
disappointing terrible,Negative
disappointing terrible failure,Negative
sufficient adequate basic common,Neutral
disappointing horrible terrible angry,Negative
joyful excellent strong,Positive
average usual,Neutral
normal average standard regular,Neutral
good strong inspired,Positive
terrible frustrated bad failure,Negative
usual basic,Neutral
inspired excellent,Positive
terrible frustrated,Negative
sad bad frustrated,Negative
poor sad weak bad,Negative
failure disappointing bad horrible,Negative
typical average,Neutral
average typical basic,Neutral
successful joyful wonderful,Positive
terrible frustrated disappointing horrible,Negative
usual average sufficient adequate,Neutral
terrible weak poor,Negative
happy strong,Positive
excellent creative joyful,Positive
poor weak,Negative
angry poor sad disappointing,Negative
adequate standard typical,Neutral
normal regular basic,Neutral
adequate typical usual sufficient,Neutral
strong excellent happy joyful,Positive
terrible frustrated angry,Negative
typical adequate,Neutral
common standard,Neutral
successful brilliant wonderful,Positive
good happy strong inspired,Positive
sad failure poor,Negative
creative joyful happy inspired,Positive
angry failure horrible,Negative
angry frustrated horrible failure,Negative
angry failure,Negative
standard average common,Neutral
strong inspired,Positive
successful excellent,Positive
inspired wonderful excellent brilliant,Positive
typical regular basic standard,Neutral
angry poor terrible weak,Negative
usual normal adequate basic,Neutral
typical basic usual average,Neutral
poor sad,Negative
disappointing bad terrible,Negative
brilliant successful inspired,Positive
inspired good strong,Positive
poor horrible weak,Negative
inspired happy excellent,Positive
average standard regular usual,Neutral
brilliant good,Positive
joyful brilliant wonderful,Positive
regular average,Neutral
weak sad horrible disappointing,Negative
angry sad disappointing,Negative
wonderful happy strong,Positive
sad poor angry disappointing,Negative
usual basic typical common,Neutral
good excellent inspired,Positive
normal standard average,Neutral
terrible horrible bad disappointing,Negative
angry disappointing weak sad,Negative
wonderful good happy,Positive
strong creative brilliant,Positive
weak failure,Negative
successful good strong,Positive
bad sad angry poor,Negative
good creative strong,Positive
brilliant inspired joyful creative,Positive
standard sufficient typical,Neutral
terrible failure poor frustrated,Negative
wonderful happy joyful,Positive
strong happy joyful creative,Positive
common normal regular,Neutral
sad failure bad poor,Negative
terrible sad frustrated,Negative
good joyful happy,Positive
weak disappointing,Negative
weak bad horrible,Negative
happy brilliant successful,Positive
standard basic,Neutral
brilliant strong excellent creative,Positive
frustrated terrible,Negative
sufficient typical,Neutral
regular common adequate sufficient,Neutral
frustrated horrible,Negative
good successful excellent strong,Positive
joyful happy strong wonderful,Positive
good successful,Positive
regular usual typical sufficient,Neutral
happy wonderful good,Positive
basic common,Neutral
brilliant good,Positive
inspired brilliant,Positive
frustrated disappointing,Negative
regular standard common,Neutral
strong brilliant,Positive
strong successful excellent wonderful,Positive
sufficient average typical,Neutral
excellent creative,Positive
bad disappointing terrible,Negative
failure terrible bad,Negative
angry failure terrible sad,Negative
wonderful good strong,Positive
sufficient average,Neutral
usual standard,Neutral
creative wonderful successful strong,Positive
creative happy,Positive
excellent wonderful strong creative,Positive
weak bad terrible failure,Negative
usual common sufficient,Neutral
disappointing poor angry weak,Negative
inspired brilliant good,Positive
adequate common,Neutral
sad poor terrible bad,Negative
normal adequate common typical,Neutral
usual average regular basic,Neutral
terrible frustrated,Negative
strong successful,Positive
strong brilliant inspired,Positive
sufficient usual typical adequate,Neutral
strong inspired,Positive
common sufficient usual,Neutral
sad weak frustrated poor,Negative
poor failure,Negative
happy creative,Positive
bad terrible angry disappointing,Negative
basic standard common average,Neutral
strong successful joyful brilliant,Positive
good joyful,Positive
horrible disappointing poor sad,Negative
poor horrible bad sad,Negative
usual common regular normal,Neutral
angry failure,Negative
basic common,Neutral
happy wonderful excellent,Positive
bad poor angry disappointing,Negative
average typical usual basic,Neutral
terrible disappointing,Negative
bad poor angry,Negative
normal average typical,Neutral
weak terrible,Negative
creative inspired,Positive
normal average usual regular,Neutral
usual sufficient average standard,Neutral
frustrated weak poor,Negative
disappointing failure sad,Negative
bad disappointing,Negative
bad terrible frustrated,Negative
bad sad poor terrible,Negative
horrible bad,Negative
adequate usual basic standard,Neutral
happy joyful successful excellent,Positive
frustrated poor disappointing angry,Negative
frustrated poor,Negative
wonderful joyful successful,Positive
disappointing failure,Negative
joyful wonderful excellent inspired,Positive
happy strong good brilliant,Positive
brilliant joyful excellent good,Positive
disappointing failure,Negative
poor horrible,Negative
strong good joyful,Positive
good successful excellent wonderful,Positive
adequate sufficient regular basic,Neutral
adequate common normal average,Neutral
normal basic adequate common,Neutral
failure horrible frustrated,Negative
successful excellent joyful,Positive
failure frustrated poor terrible,Negative
happy excellent,Positive
excellent joyful,Positive
standard adequate regular,Neutral
strong inspired,Positive
inspired happy joyful,Positive
standard typical,Neutral
terrible frustrated,Negative
successful wonderful brilliant,Positive
common standard typical normal,Neutral
poor angry horrible sad,Negative
bad terrible,Negative
brilliant good excellent,Positive
sufficient usual,Neutral
adequate regular,Neutral
failure frustrated disappointing poor,Negative
disappointing terrible,Negative
normal standard,Neutral
successful inspired strong excellent,Positive
typical average adequate common,Neutral
normal sufficient usual regular,Neutral
successful inspired,Positive
successful joyful,Positive
inspired strong happy good,Positive
common typical average,Neutral
horrible frustrated angry,Negative
poor terrible frustrated,Negative
regular typical,Neutral
terrible sad,Negative
terrible bad,Negative
normal sufficient common typical,Neutral
bad frustrated terrible failure,Negative
sufficient regular typical adequate,Neutral
average usual,Neutral
brilliant joyful strong,Positive
brilliant creative wonderful,Positive
sufficient common basic,Neutral
joyful inspired,Positive
creative strong successful,Positive
wonderful brilliant inspired happy,Positive
standard sufficient basic,Neutral
inspired happy good brilliant,Positive
terrible disappointing bad weak,Negative
average sufficient,Neutral
typical regular common,Neutral
sad disappointing,Negative
poor frustrated horrible,Negative
inspired good excellent brilliant,Positive
frustrated weak,Negative
strong brilliant creative,Positive
typical basic,Neutral
horrible failure disappointing frustrated,Negative
failure poor terrible,Negative
standard regular,Neutral
standard normal basic typical,Neutral
average normal,Neutral
normal usual basic,Neutral
sufficient common,Neutral
strong creative good,Positive
angry weak frustrated,Negative
failure terrible,Negative
wonderful good excellent strong,Positive
average regular usual,Neutral
horrible sad,Negative
happy creative excellent,Positive
terrible bad poor horrible,Negative
successful good joyful,Positive
successful happy brilliant joyful,Positive
bad angry,Negative
strong brilliant creative,Positive
creative excellent,Positive
strong inspired brilliant wonderful,Positive
failure disappointing,Negative
brilliant successful good wonderful,Positive
average adequate common sufficient,Neutral
angry disappointing poor sad,Negative
successful excellent good wonderful,Positive
happy brilliant creative,Positive
terrible disappointing,Negative
standard typical,Neutral
terrible angry disappointing,Negative
terrible horrible failure,Negative
adequate normal,Neutral
horrible terrible failure,Negative
usual common,Neutral
normal common adequate,Neutral
frustrated disappointing weak poor,Negative
usual adequate basic standard,Neutral
sad disappointing terrible angry,Negative
joyful excellent good creative,Positive
happy wonderful,Positive
creative happy,Positive
average usual,Neutral
sad frustrated terrible angry,Negative
normal typical average,Neutral
angry frustrated terrible sad,Negative
brilliant strong happy,Positive
common sufficient,Neutral
horrible sad,Negative
average normal,Neutral
joyful happy successful strong,Positive
normal standard,Neutral
weak bad,Negative
failure weak disappointing,Negative
joyful brilliant excellent,Positive
good brilliant happy,Positive
failure bad,Negative
frustrated disappointing weak,Negative
angry weak failure horrible,Negative
strong successful wonderful,Positive
poor frustrated,Negative
sufficient normal typical standard,Neutral
weak frustrated sad,Negative
weak sad disappointing,Negative
disappointing horrible bad,Negative
basic common normal,Neutral
frustrated poor terrible sad,Negative
failure horrible,Negative
weak horrible,Negative
brilliant happy successful,Positive
horrible disappointing terrible sad,Negative
average usual,Neutral
sad frustrated,Negative
horrible angry failure,Negative
brilliant happy wonderful,Positive
horrible frustrated poor,Negative
sad angry bad,Negative
brilliant joyful,Positive
good successful,Positive
disappointing sad weak horrible,Negative
poor angry disappointing,Negative
frustrated weak terrible sad,Negative
normal typical common sufficient,Neutral
wonderful brilliant,Positive
successful strong,Positive
typical adequate usual common,Neutral
terrible angry weak poor,Negative
sufficient average,Neutral
excellent inspired creative,Positive
frustrated poor,Negative
happy excellent joyful brilliant,Positive
weak horrible poor failure,Negative
basic usual average sufficient,Neutral
joyful wonderful good brilliant,Positive
horrible sad weak failure,Negative
angry frustrated disappointing,Negative
good inspired happy,Positive
standard sufficient,Neutral
wonderful joyful happy brilliant,Positive
inspired successful happy,Positive
angry terrible bad,Negative
successful strong joyful,Positive
bad horrible failure,Negative
common typical,Neutral
average basic sufficient,Neutral
adequate typical,Neutral
bad terrible poor,Negative
frustrated bad terrible,Negative
normal common,Neutral
happy wonderful good,Positive
standard sufficient regular basic,Neutral
terrible failure horrible,Negative
average adequate basic regular,Neutral
joyful good creative,Positive
frustrated failure,Negative
bad terrible angry disappointing,Negative
excellent inspired,Positive
normal regular average usual,Neutral
common average,Neutral
sufficient basic normal,Neutral
successful happy brilliant excellent,Positive
inspired brilliant,Positive
poor weak angry,Negative
horrible disappointing,Negative
sad failure,Negative
strong brilliant inspired joyful,Positive
wonderful good,Positive
sufficient usual,Neutral
standard sufficient typical,Neutral
weak poor angry terrible,Negative
failure disappointing horrible terrible,Negative
happy strong wonderful successful,Positive
basic average,Neutral
excellent joyful,Positive
failure sad bad,Negative
poor sad bad,Negative
failure sad angry,Negative
weak disappointing bad,Negative
joyful strong creative,Positive
successful excellent happy wonderful,Positive
sad bad,Negative
average usual normal adequate,Neutral
adequate regular,Neutral
strong successful,Positive
disappointing angry,Negative
regular sufficient normal,Neutral
frustrated poor,Negative
inspired strong,Positive
angry terrible sad,Negative
joyful happy,Positive
angry frustrated disappointing bad,Negative
joyful strong successful creative,Positive
failure horrible terrible disappointing,Negative
strong creative,Positive
creative good inspired,Positive
usual standard,Neutral
sad bad horrible terrible,Negative
sad disappointing angry,Negative
strong brilliant excellent good,Positive
adequate regular,Neutral
weak horrible sad,Negative
happy successful good,Positive
disappointing frustrated,Negative
basic sufficient usual,Neutral
wonderful excellent,Positive
basic common sufficient regular,Neutral
average standard normal basic,Neutral
terrible failure poor,Negative
bad failure,Negative
regular normal usual standard,Neutral
successful joyful brilliant,Positive
weak angry,Negative
strong wonderful brilliant creative,Positive
common average,Neutral
sad terrible,Negative
angry poor frustrated,Negative
sufficient typical,Neutral
angry frustrated horrible terrible,Negative
common normal,Neutral
regular average,Neutral
standard usual normal,Neutral
regular common usual,Neutral
poor disappointing terrible,Negative
horrible bad weak,Negative
usual basic average adequate,Neutral
adequate typical,Neutral
normal typical regular,Neutral
normal regular common standard,Neutral
angry weak,Negative
terrible horrible bad,Negative
successful brilliant,Positive
sufficient standard typical adequate,Neutral
terrible weak poor horrible,Negative
typical normal,Neutral
basic average usual standard,Neutral
weak frustrated bad angry,Negative
successful happy,Positive
bad disappointing,Negative
successful happy good,Positive
regular standard,Neutral
strong successful good inspired,Positive
joyful brilliant,Positive
inspired joyful strong excellent,Positive
failure poor,Negative
weak disappointing terrible failure,Negative
brilliant successful,Positive
creative happy excellent,Positive
normal usual,Neutral
brilliant inspired excellent creative,Positive
wonderful brilliant good creative,Positive
disappointing sad angry,Negative
average standard normal,Neutral
basic normal,Neutral
failure terrible bad poor,Negative
standard usual normal regular,Neutral
terrible failure bad disappointing,Negative
joyful strong,Positive
creative strong successful,Positive
successful creative strong wonderful,Positive
common standard typical sufficient,Neutral
weak disappointing bad frustrated,Negative
average normal basic typical,Neutral
disappointing failure,Negative
strong happy inspired joyful,Positive
poor terrible failure,Negative
terrible angry frustrated,Negative
sufficient normal common,Neutral
excellent inspired successful,Positive
typical normal standard,Neutral
creative happy,Positive
typical usual common adequate,Neutral
weak angry disappointing terrible,Negative
typical usual,Neutral
joyful successful,Positive
average common,Neutral
horrible frustrated failure,Negative
happy excellent brilliant creative,Positive
angry bad disappointing,Negative
normal typical regular sufficient,Neutral
horrible bad sad,Negative
usual regular average,Neutral
good happy,Positive
adequate usual sufficient typical,Neutral
wonderful good strong,Positive
adequate typical normal,Neutral
weak frustrated,Negative
brilliant wonderful strong,Positive
successful joyful,Positive
disappointing frustrated,Negative
typical common sufficient,Neutral
sufficient regular usual adequate,Neutral
regular average,Neutral
brilliant strong joyful wonderful,Positive
angry terrible,Negative
adequate standard,Neutral
brilliant strong good wonderful,Positive
creative wonderful,Positive
failure disappointing angry,Negative
wonderful good successful,Positive
poor sad frustrated angry,Negative
common usual,Neutral
sad poor,Negative
basic average regular,Neutral
creative good,Positive
creative wonderful successful inspired,Positive
common usual normal,Neutral
adequate normal,Neutral
terrible poor failure disappointing,Negative
inspired happy wonderful,Positive
normal regular usual,Neutral
standard basic typical usual,Neutral
angry frustrated,Negative
brilliant joyful happy,Positive
wonderful brilliant strong successful,Positive
happy inspired good excellent,Positive
creative successful inspired wonderful,Positive
excellent happy successful wonderful,Positive
sad terrible poor bad,Negative
terrible horrible disappointing,Negative
strong inspired,Positive
happy excellent,Positive
regular average usual,Neutral
normal average basic sufficient,Neutral
adequate basic typical,Neutral
poor bad angry failure,Negative
regular standard usual,Neutral
joyful brilliant,Positive
standard sufficient usual average,Neutral
frustrated bad angry weak,Negative
joyful brilliant wonderful,Positive
sad failure frustrated weak,Negative
average usual,Neutral
sufficient adequate,Neutral
normal standard,Neutral
usual common,Neutral
angry weak frustrated,Negative
regular usual,Neutral
terrible bad horrible,Negative
disappointing frustrated,Negative
excellent inspired,Positive
weak poor bad,Negative
creative joyful wonderful,Positive
average common sufficient,Neutral
wonderful inspired,Positive
average normal standard basic,Neutral
inspired excellent,Positive
joyful excellent happy,Positive
horrible angry weak sad,Negative
adequate normal standard typical,Neutral
angry weak,Negative
failure terrible horrible angry,Negative
standard sufficient,Neutral
successful inspired,Positive
terrible bad,Negative
sufficient normal standard,Neutral
standard adequate normal sufficient,Neutral
weak failure horrible,Negative
creative wonderful brilliant,Positive
excellent joyful creative brilliant,Positive
terrible disappointing poor,Negative
horrible angry,Negative
inspired successful excellent,Positive
excellent good,Positive
bad terrible poor frustrated,Negative
joyful successful strong,Positive
wonderful excellent joyful creative,Positive
joyful wonderful,Positive
sufficient normal regular,Neutral
good successful happy,Positive
excellent inspired joyful creative,Positive
creative excellent wonderful inspired,Positive
basic typical regular standard,Neutral
sufficient normal average,Neutral
usual average regular standard,Neutral
strong brilliant,Positive
poor sad disappointing,Negative
normal average sufficient,Neutral
terrible horrible poor frustrated,Negative
bad angry poor,Negative
typical usual,Neutral
usual standard,Neutral
standard common normal regular,Neutral
normal adequate typical regular,Neutral
terrible weak,Negative
wonderful good excellent creative,Positive
usual average sufficient common,Neutral
horrible frustrated disappointing,Negative
angry disappointing poor,Negative
sufficient standard usual,Neutral
adequate common,Neutral
strong successful inspired joyful,Positive
angry sad weak disappointing,Negative
poor weak,Negative
brilliant good joyful happy,Positive
common regular typical average,Neutral
sufficient common standard,Neutral
usual common,Neutral
normal basic common,Neutral
terrible weak,Negative
